Annee,Culture,Exportations_Tonnes,Importations_Tonnes,Pertes_Post_Recolte_Tonnes,Production_Tonnes,Rendement_Kg_Ha,Semences_Utilisees_Tonnes,Superficie_Irriguee_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Engrais_National_Total_Tonnes,Population_Agricole_Totale
2010,Riz (paddy),0.0,0.0,,110109.0,2322.827669,,2.32282766913487,47403.0,47403.0,24874.1,4135000.0
2011,Riz (paddy),0.0,240.0,,112232.0,2510.053005,,2.51005300471899,44713.0,44713.0,25854.9,4135000.0
2012,Riz (paddy),332.2,0.568,,169272.523,1627.0,,1.627,104043.0,104043.0,25861.2,4235333.333333333
2013,Riz (paddy),0.4,3685.497,,168325.6923,1788.809506,,1.78880950574052,92239.0,92239.0,34767.3,4339333.333333333
2014,Riz (paddy),0.0,0.0,,147929.8383,1764.782275,,1.76478227502119,86515.27975,86515.27975,36537.7,4446333.333333333
2015,Riz (paddy),0.0,35.0,,140952.0,1727.331954,,1.72733195426257,81600.99143,81600.99143,32970.0,4557000.0
2016,Riz (paddy),0.0,6.051,,137106.068,1653.593699,,1.65359369949586,82914.0,82914.0,41704.45,4670666.666666667
2017,Riz (paddy),0.0,71.76,,140519.0257,1665.014273,,1.66501427266757,84395.0878,84395.0878,28109.75,4785333.333333333
2018,Riz (paddy),0.0,19.603,,145488.6918,1676.040323,,1.67604032315734,86805.00691,86805.00691,28109.75,4901666.666666667
2019,Riz (paddy),0.0,0.0,,147052.713756036,1639.79339076619,,1.63979339076619,89677.5865691995,89677.5865691995,28109.75,5018666.666666667
2020,Riz (paddy),0.0,528.162,,159851.942073763,1684.51095878734,,1.68451095878734,94894.9433772953,94894.9433772953,28109.75,5137333.333333333
2021,Riz (paddy),0.0,1590.95,,165541.0,1686.90450714846,,1.68451095878734,98133.0,98133.0,28109.75,5257666.666666667
2022,Riz (paddy),0.0,1524.55,,169608.0,1697.0,,1.68451095878734,99958.0,99958.0,28109.75,5378333.333333333
2000,Sorgho,2.0,47.0,,155401.0,870.0,,,181884.0,181884.0,5730.0,4135000.0
2001,Sorgho,0.0,47.0,,163271.0,771.59532650239,,,183674.0,183674.0,5730.0,4135000.0
2002,Sorgho,10.0,47.0,,168983.0,861.663865890647,,,195184.0,195184.0,5080.0,4135000.0
2003,Sorgho,20.0,47.0,,155569.0,921.270102720601,,,177277.0,177277.0,8435.5,4135000.0
2004,Sorgho,38.0,47.0,,169782.0,1013.69650363011,,,167488.0,167488.0,10423.5,4135000.0
2005,Sorgho,24.0,40.5,,206032.0,982.0,,,209754.0,209754.0,11329.0,4135000.0
2006,Sorgho,16.0,34.0,,221155.0,1042.55161146591,,,215456.0,215456.0,8466.5,4135000.0
2007,Sorgho,8.0,27.5,,210298.0,1027.0,,,211779.0,211779.0,10199.0,4135000.0
2008,Sorgho,0.0,21.0,,211257.0,1059.0,,,213007.0,213007.0,5230.0,4135000.0
2009,Sorgho,0.0,0.0,,237664.7537,1098.08572,,,216435.52,216435.52,9870.5,4135000.0
